,City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
264,Monte Alegre,74,BR,1556907560,86,-2.0,-54.07,83.86,4.36
265,Isangel,3,VU,1556907560,69,-19.55,169.27,77.74,21.88
266,Ixtapa,20,MX,1556907317,54,20.71,-105.21,81.0,8.05
267,Nanakuli,1,US,1556907460,83,21.39,-158.15,75.2,3.36
268,Port Pirie,40,AU,1556902800,93,-33.18,138.01,51.8,5.82
269,Sorong,99,ID,1556907562,94,-0.86,131.25,76.66,1.77
270,Saskylakh,0,RU,1556907563,92,71.97,114.09,0.16,3.29
271,Nyurba,1,RU,1556907564,89,63.29,118.35,25.0,5.73
272,Port Hawkesbury,1,CA,1556907532,43,45.62,-61.36,55.99,12.75
273,Barcelos,0,PT,1556907318,60,41.53,-8.62,78.01,13.87
274,Quatre Cocos,75,MU,1556907540,69,-20.21,57.76,77.0,10.29
275,Halifax,75,CA,1556907167,50,44.65,-63.58,60.01,14.99
276,Noumea,40,NC,1556904600,82,-22.28,166.46,64.4,24.96
277,Kurduvadi,92,IN,1556907565,36,18.09,75.41,84.04,16.08
278,San Francisco,1,US,1556907305,82,37.78,-122.42,71.01,6.93
279,Brae,81,GB,1556904000,80,60.4,-1.35,44.6,23.04
280,Fomboni,54,KM,1556907568,79,-12.28,43.74,82.78,12.84
281,Dwarka,75,IN,1556907308,42,28.58,77.04,91.0,3.83
282,Saldanha,36,PT,1556907568,44,41.42,-6.55,67.48,3.29
283,Ahipara,0,NZ,1556907314,100,-35.17,173.16,50.0,7.72
284,Torbay,75,CA,1556907519,65,47.66,-52.73,42.01,19.46
285,Faanui,90,PF,1556907569,70,-16.48,-151.75,81.34,15.46
286,Svetlaya,28,RU,1556907569,53,46.54,138.33,49.3,5.28
287,Neryungri,83,RU,1556907570,91,56.66,124.71,20.86,11.72
288,Itarema,18,BR,1556907570,83,-2.92,-39.92,83.68,7.76
289,Port Augusta,40,AU,1556907350,93,-32.49,137.76,52.0,5.82
290,Nazarovo,0,RU,1556907571,43,56.01,90.42,41.74,4.68
291,Kavaratti,57,IN,1556907571,68,10.57,72.64,84.4,9.15
292,Pimentel,47,BR,1556907571,56,-3.7,-45.5,89.98,5.17
293,Conchas,77,BR,1556907572,77,-23.02,-48.01,76.84,1.92
294,Menongue,10,AO,1556907572,48,-14.66,17.68,66.04,3.78
295,Sao Filipe,19,CV,1556907572,77,14.9,-24.5,72.16,16.33
296,Tazovskiy,78,RU,1556907573,95,67.47,78.7,15.82,6.11
297,Marsh Harbour,15,BS,1556907573,81,26.54,-77.06,78.64,12.41
298,Juba,66,EE,1556907269,60,57.82,26.93,39.2,16.11
299,Pangnirtung,75,CA,1556906400,92,66.15,-65.72,26.6,9.17
300,Laguna,75,MX,1556901780,13,27.52,-110.01,86.0,2.24
301,Nikolskoye,90,RU,1556907433,64,59.7,30.79,37.99,8.95
302,Toora-Khem,0,RU,1556907575,55,52.47,96.11,26.08,1.83
303,Narsaq,75,GL,1556905800,34,60.91,-46.05,48.2,49.44
304,Coihaique,75,CL,1556902800,75,-45.58,-72.07,48.2,9.17
305,Sinazongwe,0,ZM,1556907575,55,-17.26,27.46,66.76,4.61
306,Paita,0,PE,1556902800,290,-5.09,-81.11,62.6,16.11
307,Ust-Kuyga,54,RU,1556907576,88,70.0,135.55,22.48,12.57
308,Tongliao,99,CN,1556907576,20,43.61,122.27,68.38,10.69
309,Bubaque,1,GW,1556907577,76,11.28,-15.83,77.02,20.92
310,Whitehorse,90,CA,1556907341,100,60.72,-135.06,33.01,9.17
311,Gornopravdinsk,99,RU,1556907577,90,60.06,69.92,44.26,9.4
312,Sisimiut,10,GL,1556907331,69,66.94,-53.67,38.68,13.2
313,Moron,29,VE,1556907578,47,10.49,-68.2,92.86,7.81
314,Buribay,86,RU,1556907578,44,51.96,58.16,51.46,14.7
315,Shiyan,49,CN,1556907423,73,32.65,110.78,56.14,2.68
316,Tilichiki,49,RU,1556907579,79,60.47,166.1,29.32,9.89
317,Ancud,90,CL,1556902800,100,-41.87,-73.83,48.2,1.12
318,Oxapampa,100,PE,1556907579,98,-10.58,-75.4,49.3,4.32
319,Naze,40,NG,1556902800,70,5.43,7.07,87.8,9.17
320,Portland,40,US,1556907352,62,45.52,-122.67,60.01,3.15
321,Valdivia,90,CL,1556902800,100,-39.81,-73.25,59.0,5.82
322,Mount Gambier,90,AU,1556902800,93,-37.83,140.78,51.8,8.05
323,Ribas do Rio Pardo,100,BR,1556907581,71,-20.45,-53.76,82.6,9.1
324,San Vicente,20,SV,1556905800,63,13.64,-88.78,91.4,6.93
325,Paamiut,100,GL,1556907582,44,61.99,-49.67,45.88,9.93
326,Santa Maria,75,BR,1556902800,83,-29.69,-53.81,78.8,1.12
327,Lasa,75,CY,1556906400,82,34.92,32.53,66.2,5.82
328,Klaksvik,37,FO,1556905800,59,62.23,-6.59,37.4,19.46
329,Alice Springs,0,AU,1556904600,62,-23.7,133.88,51.8,9.06
330,Jardim,61,BR,1556907585,67,-21.48,-56.15,86.2,8.79
331,Katsuura,40,JP,1556906305,77,33.93,134.5,59.0,6.93
332,Lixourion,20,GR,1556907388,82,38.2,20.43,64.4,11.3
333,Waitati,60,NZ,1556907585,66,-45.75,170.57,55.06,8.37
334,Lorengau,100,PG,1556907586,91,-2.02,147.27,77.92,9.24
335,Havre-Saint-Pierre,1,CA,1556906400,39,50.23,-63.6,46.4,10.29
336,Gat,0,SN,1556906400,60,14.69,-16.54,73.4,17.22
337,Bako,97,NG,1556907587,43,9.68,6.4,91.6,5.01
338,Cumana,75,VE,1556906400,66,10.46,-64.17,91.4,19.04
339,Khuzhir,1,RU,1556907587,62,53.19,107.35,20.68,2.86
340,Tual,100,ID,1556907588,77,-5.67,132.75,82.24,10.13
341,Virginia Beach,1,US,1556907360,42,36.85,-75.98,86.0,12.75
342,Kiunga,100,PG,1556907588,99,-6.12,141.3,71.44,0.34
343,Port-Gentil,40,GA,1556906400,88,-0.72,8.78,82.4,9.17
344,Mildura,0,AU,1556907335,93,-34.18,142.16,51.8,5.82
345,Qaqortoq,75,GL,1556905800,34,60.72,-46.03,48.2,49.44
346,Novato,1,US,1556907404,63,38.11,-122.57,72.0,3.2
347,Outjo,0,NA,1556902800,18,-20.11,16.16,80.6,3.36
348,Tacuarembo,64,UY,1556907590,79,-31.73,-55.98,76.3,9.1
349,Leningradskiy,0,RU,1556907590,76,69.38,178.42,23.92,4.94
350,Bara,76,NG,1556907591,27,10.41,10.6,97.36,9.66
351,Kirakira,34,SB,1556907591,81,-10.46,161.92,80.44,6.13
352,Codrington,100,AU,1556907378,93,-28.95,153.24,69.8,3.6
353,Havelock,20,US,1556907432,69,34.88,-76.9,84.0,11.41
354,Harer,1,US,1556907511,31,42.19,-111.17,57.99,7.49
355,Belmonte,2,PT,1556907515,41,40.36,-7.35,75.0,3.0
356,Quartucciu,40,IT,1556907336,93,39.25,9.18,62.6,4.7
357,Biak,100,ID,1556907593,99,-0.91,122.88,66.94,0.67
358,Dingle,11,PH,1556907593,80,11.0,122.67,77.74,2.06
359,Najran,20,SA,1556902800,14,17.54,44.22,95.0,11.41
360,Vung Tau,87,VN,1556907594,77,10.35,107.08,84.94,9.89
361,Harper,90,US,1556907358,83,30.3,-99.24,73.99,6.93
362,Strezhevoy,75,RU,1556904600,75,60.73,77.6,44.6,17.9
363,Bonavista,50,CA,1556907338,85,48.65,-53.11,37.99,17.0
364,Faya,0,SA,1556902800,28,18.39,42.45,75.2,13.87
365,Eyl,0,SO,1556907596,73,7.98,49.82,83.86,10.31
366,Huzhou,91,CN,1556907300,81,30.86,120.1,57.99,5.97
367,Christchurch,7,NZ,1556907325,93,-43.53,172.64,54.0,10.29
368,Baruun-Urt,100,MN,1556907597,50,46.68,113.28,53.8,13.78
369,Fayaoue,3,NC,1556907597,70,-20.65,166.53,76.48,24.38
370,Caconda,40,AO,1556907597,52,-13.73,15.06,68.2,2.57
371,Birjand,0,IR,1556902800,20,32.86,59.22,66.2,6.93
372,Touros,40,BR,1556902800,62,-5.2,-35.46,87.8,16.11
373,Kaupanger,20,NO,1556904000,34,61.18,7.24,33.8,23.04
374,Honiara,20,SB,1556906400,100,-9.43,159.96,75.2,3.78
375,Mochicahui,90,MX,1556907495,21,25.95,-108.93,86.0,5.06
376,Porto Novo,40,BR,1556902800,51,-23.68,-45.44,84.2,4.7
377,Ulladulla,0,AU,1556907404,100,-35.36,150.48,64.99,6.93
378,Saint George,20,GR,1556907200,63,39.45,22.34,71.6,4.7
379,Gobabis,0,NA,1556902800,19,-22.45,18.97,78.8,3.36
380,Ures,0,MX,1556907378,26,30.73,-112.95,86.0,1.99
381,Kloulklubed,69,PW,1556907600,78,7.04,134.26,81.7,7.72
382,Luwuk,100,ID,1556907600,99,-0.95,122.79,66.94,0.67
383,Zhenhai,0,CN,1556902800,66,29.95,121.71,55.4,2.24
384,Haines Junction,39,CA,1556907601,58,60.75,-137.51,41.38,3.38
385,Coquimbo,20,CL,1556907417,77,-29.95,-71.34,75.0,4.7
386,Saquena,100,PE,1556907602,84,-4.67,-73.52,82.24,4.07
387,Morondava,0,MG,1556907602,68,-20.3,44.28,82.24,9.75
388,Zhezkazgan,0,KZ,1556907602,38,47.8,67.71,47.14,9.64
389,Prado,100,BR,1556907603,69,-17.34,-39.22,84.04,8.95
390,Taltal,0,CL,1556907603,60,-25.41,-70.49,68.74,6.93
391,Khasan,0,RU,1556907604,55,42.43,130.64,48.58,2.15
392,San Patricio,29,PY,1556907604,64,-26.98,-56.83,86.92,7.05
393,Verkhnyaya Inta,90,RU,1556907604,89,65.99,60.32,36.7,8.95
394,Nuuk,40,GL,1556907165,34,64.17,-51.74,51.8,9.17
395,Arica,0,CL,1556902800,60,-18.48,-70.32,73.4,11.41
396,Moerai,100,PF,1556907606,72,-22.43,-151.33,75.4,20.71
397,Zhigansk,13,RU,1556907606,86,66.77,123.37,12.22,2.39
398,Kangaatsiaq,94,GL,1556907607,74,68.31,-53.46,37.78,4.76
399,Kruisfontein,76,ZA,1556907607,78,-34.0,24.73,56.14,9.42
400,Abu Kamal,100,SY,1556907607,53,34.45,40.92,74.5,13.0
401,Ossora,98,RU,1556907607,88,59.24,163.07,31.12,8.01
402,Scarborough,32,GB,1556907543,70,54.28,-0.41,48.2,5.82
403,Imbituba,0,BR,1556902800,62,-28.24,-48.67,86.0,14.99
404,Tiznit,28,MA,1556907609,84,29.7,-9.73,63.52,14.52
405,Dickinson,1,US,1556907310,43,46.88,-102.79,57.99,11.41
406,Amuntai,1,ID,1556907609,95,-2.42,115.25,75.04,0.72
407,Tuburan,20,PH,1556902800,83,10.73,123.82,82.4,3.36
408,Baiao,75,BR,1556907610,69,-2.79,-49.67,88.54,4.45
409,Vestmanna,44,FO,1556905800,59,62.16,-7.17,37.4,19.46
410,Axim,100,GH,1556907368,81,4.87,-2.24,82.06,7.23
411,Baoding,100,CN,1556907611,38,38.86,115.49,62.26,0.92
412,Comodoro Rivadavia,20,AR,1556902800,57,-45.87,-67.48,48.2,3.36
413,Gualaquiza,93,EC,1556907518,64,-3.4,-78.58,62.8,7.0
414,Las Mercedes,100,EC,1556907612,80,-1.27,-79.32,81.52,0.94
415,Buchanan,40,LR,1556906400,74,5.88,-10.05,86.0,11.41
416,Nove Davydkovo,100,UA,1556907594,81,48.44,22.62,55.0,3.0
417,Port Hardy,75,CA,1556906400,58,50.7,-127.42,57.2,12.75
418,Grand Bank,0,CA,1556906400,75,47.1,-55.77,50.0,24.16
419,Chunoyar,42,RU,1556907614,73,57.45,97.32,32.02,2.93
420,Kasungu,4,MW,1556907614,85,-13.04,33.48,65.68,6.76
421,Mitu,88,IR,1556907615,58,36.2,46.09,53.8,6.2
422,Alta Floresta,75,BR,1556902800,66,-9.87,-56.08,89.6,4.7
423,Tokur,2,RU,1556907615,67,53.13,132.9,32.92,8.5
424,Makakilo City,1,US,1556907591,83,21.35,-158.09,75.2,3.36
425,Chenghai,0,CN,1556902800,53,23.46,116.77,71.6,2.24
426,Rakiv Lis,98,UA,1556907616,66,51.62,24.92,48.94,5.46
427,Ewa Beach,1,US,1556907591,83,21.32,-158.01,75.2,3.36
428,Okha,67,RU,1556907592,97,53.59,142.95,28.06,2.98
429,Tucuman,0,PE,1556907617,29,-17.17,-70.89,68.74,8.55
430,Hambantota,100,LK,1556907617,80,6.12,81.12,83.68,18.48
431,Varna,0,BG,1556906400,62,43.22,27.9,59.0,8.05
432,Wuwei,36,CN,1556907618,60,37.93,102.64,55.6,2.84
433,Wanning,75,AT,1556907603,81,48.64,13.53,55.0,4.7
434,Honghu,19,CN,1556907618,58,29.82,113.46,70.54,2.91
435,Talnakh,0,RU,1556902800,77,69.49,88.39,6.8,6.71
436,Mecca,3,SA,1556907619,25,21.43,39.83,93.04,3.78
437,Nakamura,20,JP,1556907516,77,35.17,136.87,60.8,5.82
438,Bukama,52,CD,1556907620,61,-9.2,25.85,76.66,2.95
439,Sorland,40,NO,1556904000,80,67.67,12.69,39.2,19.46
440,Lavrentiya,100,RU,1556907620,96,65.58,-170.99,26.62,8.52
441,Barra do Garcas,75,BR,1556902800,78,-15.89,-52.26,80.6,11.41
442,Marzuq,0,YE,1556907621,23,14.4,46.47,81.52,7.38
443,Keffi,92,NG,1556907622,55,8.85,7.88,86.92,4.25
444,Sembakung,3,ID,1556907622,97,3.82,117.25,74.68,1.25
445,Lalsot,75,IN,1556904600,37,26.56,76.33,82.4,4.7
446,Laizhou,100,CN,1556907622,51,37.18,119.93,61.72,16.28
447,Half Moon Bay,40,US,1556907620,55,37.46,-122.43,72.0,11.41
448,Kharan,0,PK,1556907623,9,28.58,65.42,84.22,7.07
449,Palana,1,RU,1556907624,74,59.08,159.95,34.0,16.22
450,Shizunai,0,JP,1556907398,85,42.33,142.37,46.6,5.84
451,Kovdor,84,RU,1556907625,71,67.56,30.47,27.16,9.31
452,Palmer,20,AU,1556907605,87,-34.85,139.16,55.99,6.93
453,Puerto Baquerizo Moreno,0,EC,1556907625,86,-0.9,-89.6,79.0,8.59
454,Yeppoon,90,AU,1556904600,83,-23.13,150.74,71.6,1.12
455,Port Keats,78,AU,1556907626,63,-14.25,129.55,82.78,12.57
456,Beyneu,100,KZ,1556907626,23,45.32,55.19,69.46,36.86
457,Skelleftea,75,SE,1556907487,59,64.75,20.95,37.99,4.7
458,Sabang,5,PH,1556907627,78,13.72,123.58,81.88,6.51
459,Vila Franca do Campo,20,PT,1556904600,77,37.72,-25.43,64.4,16.11
460,Ilinskiy,40,RU,1556906707,62,55.62,38.12,53.6,17.9
461,Grimshaw,75,CA,1556907339,39,56.19,-117.61,30.2,12.75
462,Grand Gaube,75,MU,1556907540,69,-20.01,57.66,77.0,10.29
463,Harrismith,85,ZA,1556907628,40,-28.27,29.13,58.84,3.65
464,Khani,75,GE,1556904600,93,41.96,42.96,55.4,2.24
465,Liverpool,75,GB,1556907624,76,53.41,-2.98,51.01,9.17
466,Mogadouro,36,PT,1556907629,44,41.34,-6.71,67.48,3.29
467,Pombas,93,BR,1556907630,47,-15.9,-54.74,91.42,6.22
468,Guarapari,20,BR,1556902800,74,-20.67,-40.5,84.2,13.87
469,Mersing,3,MY,1556907630,93,2.43,103.84,78.1,1.32
470,Pozoblanco,0,ES,1556904600,39,38.38,-4.85,78.8,20.8
471,Yumen,58,CN,1556907630,20,40.29,97.04,67.3,24.61
472,Husavik,100,CA,1556907403,87,50.56,-96.99,52.0,8.99
473,Soe,63,EE,1556907615,60,57.91,26.05,39.2,16.11
474,Wamba,60,CD,1556907632,57,2.14,27.99,80.8,1.7
475,Santa Rosa,71,AR,1556907634,38,-36.62,-64.29,76.12,7.2
476,Pingxiang,26,CN,1556907634,71,27.63,113.85,66.94,2.73
477,Katete,82,UG,1556907634,76,-0.78,29.75,67.48,2.68
478,Puebla,40,MX,1556901900,31,19.04,-98.2,73.4,8.05
479,Chaykovskiy,100,RU,1556907425,93,56.77,54.11,51.01,1.99
480,Los Llanos de Aridane,75,ES,1556907369,72,28.66,-17.92,66.2,14.99
481,Soto,90,ZA,1556906400,72,-32.69,28.13,64.4,12.75
482,Oranjestad,20,AW,1556902800,66,12.52,-70.03,86.0,31.09
483,Carutapera,30,BR,1556907636,74,-1.2,-46.02,84.76,7.85
484,Kaduna,100,NG,1556907364,74,10.52,7.44,79.9,2.06
485,Logan Lake,75,CA,1556906407,41,50.49,-120.81,59.0,11.41
486,Harbin,0,CN,1556902800,23,45.77,126.62,60.8,6.71
487,Altay,97,CN,1556907637,45,47.83,88.13,40.12,7.05
488,Bowen,40,AU,1556907320,93,-20.01,148.25,71.01,5.82
489,Amapa,75,HN,1556907391,52,15.09,-87.97,98.01,5.82
490,Verkhnevilyuysk,12,RU,1556907638,90,63.45,120.31,25.0,5.66
491,Buenos Aires,0,AR,1556907432,31,-34.61,-58.44,79.0,5.82
492,Lufilufi,75,WS,1556907187,88,-13.87,-171.6,78.8,12.75
493,West Bay,20,GB,1556907627,71,50.71,-2.76,57.2,13.87
494,Bireun,75,ID,1556907549,92,5.2,96.7,72.52,1.21
495,Grand-Santi,36,GF,1556907639,86,4.27,-54.38,81.7,5.01
496,Cayenne,24,GF,1556904600,74,4.94,-52.33,84.2,18.34
497,Klos,75,AL,1556907600,77,41.51,20.09,59.0,2.24
498,Meulaboh,75,ID,1556907640,79,4.14,96.13,83.68,4.25
499,Filingue,41,NE,1556907640,12,14.35,3.32,106.54,5.44
500,Yacuiba,90,AR,1556902800,69,-22.01,-63.68,82.4,4.85
501,Egvekinot,98,RU,1556907641,80,66.32,-179.17,19.42,9.84
502,Coahuayana,0,MX,1556907641,10,18.62,-100.35,102.04,3.89
503,Caxias,75,BR,1556902800,52,-4.87,-43.35,91.4,5.82
504,Ayagoz,29,KZ,1556907642,88,47.96,80.43,36.16,8.12
505,Rocha,71,UY,1556907642,68,-34.48,-54.34,67.66,6.35
506,Muzaffarpur,75,IN,1556904600,88,26.12,85.39,78.8,9.17
507,Chimbote,78,PE,1556907643,92,-9.08,-78.59,66.22,13.18
508,Binzhou,100,CN,1556905894,25,37.38,117.96,72.0,1.01
509,Hobyo,5,SO,1556907643,71,5.35,48.53,84.94,15.23
510,Bandarbeyla,0,SO,1556907644,69,9.49,50.81,82.24,7.11
511,Kaputa,34,ZM,1556907644,81,-8.47,29.66,68.74,2.04
512,Rodrigues Alves,75,BR,1556902800,79,-7.74,-72.65,86.0,8.05
513,Cairns,40,AU,1556907324,88,-16.92,145.77,73.4,8.05
514,Chicama,0,PE,1556902800,73,-7.84,-79.15,73.4,12.75
515,Conde,31,BR,1556907645,60,-11.81,-37.61,86.56,6.8
516,Isagarh,16,IN,1556907645,25,24.84,77.89,88.9,10.07
517,Ostrov,37,RU,1556902800,56,57.34,28.36,41.0,13.42
518,Jalu,1,LY,1556907646,16,29.03,21.55,83.32,9.44
519,Dalvik,75,SE,1556907433,74,57.79,14.13,37.4,5.82
520,Simpang,75,MY,1556902800,88,4.82,100.71,82.4,3.51
521,Tafresh,59,IR,1556907647,34,34.69,50.01,68.2,5.95
522,Port Macquarie,90,AU,1556907604,100,-31.43,152.91,64.0,2.77
523,Akhtubinsk,100,RU,1556907648,70,48.29,46.17,57.94,8.72
524,Port Lincoln,58,AU,1556907648,69,-34.72,135.86,60.64,12.95
525,Gladstone,75,AU,1556906985,83,-23.84,151.26,69.8,4.7
526,Micheweni,1,TZ,1556907649,76,-4.97,39.83,84.04,15.82
527,Soderhamn,96,SE,1556907425,66,61.3,17.06,37.99,1.48
528,Hofn,20,IS,1556906400,48,64.25,-15.21,39.2,9.17
